gus.buptnet.edu.cn                bupt.edu.cn
sfb.hytc.edu.cn                   hytc.edu.cn
dns2.jstu.edu.cn                  jstu.edu.cn
dns1.jstu.edu.cn                  jstu.edu.cn
dns2.xjtlu.edu.cn                 xjtlu.edu.cn
xjy1.xzcat.edu.cn                 xzcat.edu.cn
njhy1.njcc.edu.cn                 njcc.edu.cn
dns2.jpu.edu.cn                   jpu.edu.cn
dns1.xit.edu.cn                   xit.edu.cn
z.nttec.edu.cn                    nttec.edu.cn
dns1.njty.edu.cn                  njty.edu.cn
dns2.ytc.edu.cn                   ytc.edu.cn
dns1.ytc.edu.cn                   ytc.edu.cn
sz2.ustcsz.edu.cn                 ustcsz.edu.cn
dns2.szhct.edu.cn                 szhct.edu.cn
jdxx.niit.edu.cn                  niit.edu.cn
jdxy.niit.edu.cn                  niit.edu.cn
dns1.njxzc.edu.cn                 njxzc.edu.cn
dns1.lygtc.edu.cn                 lygtc.edu.cn
dns.ahut.edu.cn                   ahut.edu.cn
dns1.ahut.edu.cn                  ahut.edu.cn
hh.aust.edu.cn                    aust.edu.cn
pri.eei.edu.cn                    eei.edu.cn
dns1.czili.edu.cn                 czili.edu.cn
chnu1.chnu.edu.cn                 hbcnc.edu.cn
ns1.czie.edu.cn                   czie.edu.cn
hnds1.hnnu.edu.cn                 hnnu.edu.cn
dns1.chu.edu.cn                   chtc.edu.cn
dns2.ahpu.edu.cn                  ahpu.edu.cn
dns1.ahpu.edu.cn                  ahpu.edu.cn
aemisrv4.ahsa.edu.cn              ahsa.edu.cn
dns1.hhuwtian.edu.cn              hhuwtian.edu.cn
dns1.xcvtc.edu.cn                 xcvtc.edu.cn
chnu1.chnu.edu.cn                 hbcnc.edu.cn
fysy1.fync.edu.cn                 fync.edu.cn
sdma.sdust.edu.cn                 sdust.edu.cn
sdau1.sdau.edu.cn                 sdau.edu.cn
netra150.sdutcm.edu.cn            sdutcm.edu.cn
dns.ytu.edu.cn                    ytu.edu.cn
dns3.upc.edu.cn                   hdpu.edu.cn
dns2.upc.edu.cn                   hdpu.edu.cn
dns.ccec.edu.cn                   ccec.edu.cn
dns1.qau.edu.cn                   qau.edu.cn
dns2.qau.edu.cn                   qau.edu.cn
server.qust.edu.cn                qdict.edu.cn
pdom.ldu.edu.cn                   ldu.edu.cn
taishan.tsmc.edu.cn               tsmc.edu.cn
tsweb.tsmc.edu.cn                 tsmc.edu.cn
car.lcu.edu.cn                    lcu.edu.cn
dns.lcu.edu.cn                    lcu.edu.cn
sbs.bztc.edu.cn                   bztc.edu.cn
sfh.bztc.edu.cn                   bztc.edu.cn
sun.dzu.edu.cn                    dzu.edu.cn
dns2.bzmc.edu.cn                  bzmc.edu.cn
dns1.jnmc.edu.cn                  jnmc.edu.cn
dns1.sdngy.edu.cn                 sdngy.edu.cn
dns2.jnxy.edu.cn                  jnxy.edu.cn
uzzdns.uzz.edu.cn                 uzz.edu.cn
SUN.sdpc.edu.cn                   sdpc.edu.cn
dns2.hitwh.edu.cn                 hitwh.edu.cn
dns2.sufe.edu.cn                  sufe.edu.cn
dns1.sufe.edu.cn                  sufe.edu.cn
sunshine.dhu.edu.cn               dhu.edu.cn
