
; <<>> DiG 9.9.5-W1 <<>> @dns.sdju.edu.cn axfr sdju.edu.cn
; (2 servers found)
;; global options: +cmd
xinsheng.sdju.edu.cn.	86400	IN	CNAME	site.sdju.edu.cn.
xsc.sdju.edu.cn.	86400	IN	CNAME	site.sdju.edu.cn.
xsgl.sdju.edu.cn.	86400	IN	CNAME	app.sdju.edu.cn.
xsh.sdju.edu.cn.	86400	IN	CNAME	site.sdju.edu.cn.
xssw.sdju.edu.cn.	86400	IN	A	210.35.68.32
xuebao.sdju.edu.cn.	86400	IN	CNAME	site.sdju.edu.cn.
xxgcx.sdju.edu.cn.	86400	IN	CNAME	app.sdju.edu.cn.
xyh.sdju.edu.cn.	86400	IN	CNAME	site.sdju.edu.cn.
yjs.sdju.edu.cn.	86400	IN	CNAME	web.sdju.edu.cn.
zcgl.sdju.edu.cn.	86400	IN	CNAME	site.sdju.edu.cn.
zhaosheng.sdju.edu.cn.	86400	IN	CNAME	web.sdju.edu.cn.
zhdas.sdju.edu.cn.	86400	IN	CNAME	site.sdju.edu.cn.
zuzhi.sdju.edu.cn.	86400	IN	CNAME	site.sdju.edu.cn.
sdju.edu.cn.		86400	IN	SOA	sdju.edu.cn. root.sdju.edu.cn. 2011111130 3600 900 604800 86400
;; Query time: 35 msec
;; SERVER: 210.35.68.5#53(210.35.68.5)
;; WHEN: Mon Apr 21 20:55:15 中国标准时间 2014
;; XFR size: 97 records (messages 1, bytes 2063)

