
; <<>> DiG 9.9.5-W1 <<>> @dns.njupt.edu.cn axfr njupt.edu.cn
; (1 server found)
;; global options: +cmd
ict.njupt.edu.cn.	86400	IN	CNAME	wism-aici2010.njupt.edu.cn.
idssrv01.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
idssrv02.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
iids.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
imp.njupt.edu.cn.	86400	IN	CNAME	portal.njupt.edu.cn.
ioc.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
iot.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
www.iotcenter.njupt.edu.cn. 86400 IN	A	10.10.136.176
iotlab.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
ip.njupt.edu.cn.	86400	IN	CNAME	ctie.njupt.edu.cn.
www.ipic.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
isdc.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
ispt.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
iwbrs.njupt.edu.cn.	86400	IN	A	202.119.236.251
jfiot.njupt.edu.cn.	86400	IN	CNAME	ctie.njupt.edu.cn.
jjh.njupt.edu.cn.	86400	IN	CNAME	ctie.njupt.edu.cn.
jjxy.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
main.jjy.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
jjywsxx.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
job.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
jsfz.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
jw.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
jwc.njupt.edu.cn.	86400	IN	A	202.119.224.202
jwc1.njupt.edu.cn.	86400	IN	A	202.119.236.161
jxcg.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
jxpg.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
